r,l,t,s,i
1346397.639492,617,56.732617,1,5
712773.827608,381,111.188468,1,5
9029.67567,150,148.739705,0,5
484654.432293,303,197.7037,1,5
170819.003115,275,243.172451,0,5
440569.069942,322,292.946697,1,5
610305.10552,298,340.169161,1,5
1186809.232917,549,405.246055,1,5
534726.041729,342,457.088291,1,5
280813.426478,260,502.607571,1,5
537166.62177,354,554.485431,1,5
310838.025587,641,625.817171,1,5
97490.579838,597,693.261433,0,5
18621.211673,223,735.742388,0,5
207836.573687,363,787.211743,1,5
216574.583165,394,841.649269,1,5
42419.816786,306,888.656633,0,5
90980.326716,535,952.488584,0,5
771834.524562,427,1008.240132,1,5
205958.340733,529,1072.551567,1,5
